cancer,metabolism score,CD8+T,log10(totalTNB+1),MHC_score,OS_1y_rate
MESO_8,44906.18584,10909.91755,1.650514998,0.535487213,0.5
MESO_9,45692.96692,10611.42306,1.278753601,0.523703469,0.59
MESO_10,45118.08034,10962.88177,1.041392685,0.429626426,0.626
MESO_11,44478.59179,11144.96898,1.272653558,0.494293776,0.661
OV_1,43257.13582,8988.114431,,0.423133804,0.417
OV_2,43215.70963,8732.698067,,0.434891455,0.47
OV_3,42944.15222,8916.981594,,0.408577726,0.5058
OV_4,42797.10313,8349.79534,,0.428183844,0.5914
OV_5,42948.50693,8545.983424,,0.408443007,0.6603
PDAC_1,45536.25618,9653.904243,1.342422681,0.462103617,0.063
PDAC_2,45219.73228,9458.289499,1.414651886,0.496207174,0.0839
PRAD_1,48107.66445,8972.652915,1.322219295,0.450909534,0.523
SARC_1,44963.76338,8983.734269,1.447158031,0.481486598,0.4042
SKCM_1,43706.74611,9354.635395,2.538959981,0.36158578,0.3042
SKCM_2,43534.32203,10107.08401,0.477121255,0.424810582,0.38
SKCM_3,43964.2461,10402.45405,1.86923172,0.419740722,0.393
SKCM_4,43755.81193,10549.18702,1.662757832,0.392657949,0.396
SKCM_5,44563.86715,10262.01432,2.26425267,0.453600528,0.4
SKCM_6,44390.27601,10586.83347,2.321726338,0.541596786,0.456
SKCM_7,43749.17973,9081.38019,2.331019854,0.461718243,0.464
SKCM_8,43224.4641,9393.932486,2.048940872,0.461923781,0.472
SKCM_9,43493.63362,10419.91794,2.68723211,0.485331467,0.48
SKCM_10,43734.80032,9337.964174,2.610660163,0.386812663,0.486
SKCM_11,43485.41279,9957.816945,1.67972801,0.459052233,0.492
SKCM_12,43893.99748,9122.632439,2.503790683,0.430117902,0.508
SKCM_13,44101.29749,9889.721046,2.201397124,0.398908492,0.529
SKCM_14,43629.41777,9425.16275,1.579783597,0.402055396,0.5384
SKCM_15,44013.10117,10907.22517,2.804820679,0.407572911,0.54
SKCM_16,44165.46113,9211.743155,2.157985173,0.433301698,0.5564
SKCM_17,43616.39687,9030.200667,2.045322979,0.486757908,0.5578
SKCM_18,43928.61736,10045.90438,1.880813592,0.474507568,0.5686
SKCM_19,43322.94792,9524.768476,2.127104798,0.499494118,0.58
SKCM_20,44106.22407,10193.2382,1.938915946,0.43010271,0.589
SKCM_21,44172.80418,10480.6153,1.770852012,0.388518024,0.6094
SKCM_22,43523.63266,9793.682489,2.067247928,0.425803521,0.62
SKCM_23,43306.59826,9320.240683,2.507855872,0.296681688,0.6401
SKCM_24,43455.59953,9300.363486,2.086359831,0.391425548,0.649
SKCM_25,44331.2852,10372.52947,,0.447193235,0.6514
SKCM_26,43704.72996,9734.263559,2.156088678,0.389568311,0.6611
